時間戳記,姓名,學校屆數（ex.中正47）,上山的日期（再次確定）,身分證字號,生日,電話（手機）,監護人姓名,與被保險人之關係（ex.父女）,監護人電話,有無特殊疾病,想說的話～
2022/5/23 上午 11:55:32,丁俊宏,中山 46,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）, 7/3（日）",A126608525,2000/1/1,0900000000,丁俊宏,母子,0900000000,,測試
2022/5/23 下午 12:48:53,朱香韋,中山48,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）, 7/3（日）",A167834549,2000/1/2,0900000001,朱香韋,父子,0900000001,沒有,測試
2022/5/23 下午 1:01:42,羅瑋婷,中正47,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）",A183530911,2000/1/3,0900000002,羅瑋婷,父女,0900000002,,測試
2022/5/23 下午 10:17:32,洪嘉美,中正45,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）, 7/3（日）",A130775539,2000/1/4,0900000003,洪嘉美,父女,0900000003,,測試
2022/5/24 上午 10:15:10,李馨文,中正46,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）",A105413428,2000/1/5,0900000004,李馨文,兄弟,0900000004,,測試
2022/5/24 上午 10:54:34,林彥玟,中正46,"7/2（六）, 7/3（日）",A199666351,2000/1/6,0900000005,林彥玟,母子,0900000005,,測試
2022/5/24 下午 3:03:40,黃麗妏,成大45,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）, 7/3（日）",A115770850,2000/1/7,0900000006,黃麗妏,母子,0900000006,無,測試
2022/5/27 下午 6:31:03,陳崇然,中正45,"6/29（三）, 6/30（四）, 7/1（五）",A195915648,2000/1/8,0900000007,陳崇然,母子,0900000007,無,測試
2022/5/29 上午 3:52:54,林宜聖,中正48,"7/1（五）, 7/2（六）, 7/3（日）",A108646330,2000/1/9,0900000008,林宜聖,母子,0900000008,無,測試
2022/5/29 上午 10:18:42,陳佳怡,成大48,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）",A109473680,2000/1/10,0900000009,陳佳怡,母子,0900000009,,測試
2022/5/29 下午 8:46:22,陳國榮,成大49,"6/27（一）, 6/28（二）, 6/29（三）, 6/30（四）, 7/1（五）, 7/2（六）, 7/3（日）",A131501720,2000/1/11,0900000010,陳國榮,父子,0900000010,無,測試
